ID,Winning_price_per_standard_unit
2543,1.69750010967255
2544,1.51618361473083
2545,1.64608669281006
2546,1.49925565719604
2548,1.57995641231537
2549,1.31960093975067
2551,1.4795880317688
2552,1.79002678394318
2555,1.39230728149414
2557,1.65281569957733
2558,1.81191277503967
2559,1.48622620105743
2562,1.62855112552643
2563,1.63309729099274
2564,1.5271623134613
2565,1.41543865203857
2567,1.58155047893524
2568,1.36503803730011
2570,1.67482399940491
2572,1.5446492433548
2574,1.69572770595551
2575,1.50365507602692
2576,1.51238238811493
2577,1.60073363780975
2579,1.65343964099884
2581,1.60812509059906
2583,1.28343439102173
2585,1.3198823928833
2588,1.51581335067749
2591,1.80255544185638
2593,1.39755594730377
2595,1.52725446224213
2598,1.5076197385788
2601,1.68550217151642
2604,1.32986044883728
2605,1.6575368642807
2609,1.44483280181885
2612,1.56776309013367
2614,1.41619288921356
2615,1.64421129226685
2616,1.68321919441223
2619,1.56224191188812
2622,1.56832146644592
2626,1.61039423942566
2628,1.65835285186768
2629,1.58045649528503
2630,1.61105895042419
2633,1.75477540493011
2634,1.94432842731476
2636,1.86319899559021
2637,1.97211182117462
2639,1.92778170108795
2643,1.83519458770752
2644,1.86986982822418
2645,1.79111444950104
2646,1.48457312583923
2649,1.54390406608582
2652,1.38968968391418
2654,1.34915328025818
2659,1.64719748497009
2661,1.63303577899933
2665,1.6589822769165
2668,1.41975092887878
2670,1.58548557758331
2675,1.76819050312042
2676,1.7368665933609
2678,1.64232051372528
2681,1.57439494132996
2685,1.66933369636536
2688,1.56606888771057
2691,1.59071052074432
2693,1.5021755695343
2696,2.0993709564209
2699,1.52942705154419
2700,1.68375766277313
2703,1.65599310398102
2706,2.32553768157959
2709,1.82934236526489
2719,1.73316931724548
2721,1.74903547763824
2722,1.37010478973389
2724,1.59471797943115
2726,1.32371938228607
2728,1.37809252738953
2729,2.01925230026245
2731,2.06185913085938
2732,2.07352375984192
2733,2.02865076065063
2735,1.64786660671234
2736,1.78082668781281
2738,1.59959757328033
2741,1.59524261951447
2742,1.38525462150574
2743,2.17587828636169
2745,1.4772527217865
2746,1.52342259883881
2748,2.04928016662598
2750,1.48191916942596
2753,1.51951682567596
2754,2.16904067993164
2758,2.13717246055603
2760,1.57681548595428
2763,1.70673835277557
2766,1.67911958694458
2767,1.49036526679993
2770,1.50719928741455
2773,1.50638067722321
2776,2.23592901229858
2778,1.41479444503784
2780,2.16035842895508
2782,1.75550413131714
2785,1.7357097864151
2787,1.65089583396912
2792,1.6824437379837
2794,1.37812256813049
2795,1.72857260704041
2796,1.30220341682434
2800,1.53054106235504
2802,1.60913288593292
2803,1.52772378921509
2805,1.51135873794556
2806,1.59250044822693
2808,1.59050703048706
2811,2.03545141220093
2813,1.60349082946777
2814,1.90889704227448
2818,1.6183830499649
2823,2.09261655807495
2824,1.49962639808655
2825,1.68591296672821
2828,1.95834648609161
2832,2.09478425979614
2833,1.44397604465485
2836,1.43298840522766
2840,1.7067734003067
2843,1.58079147338867
2844,1.55076026916504
2847,1.53434228897095
2851,2.00888776779175
2853,1.68291580677032
2856,2.39215230941772
2857,1.53872418403625
2860,1.49757969379425
2865,1.34054064750671
2868,1.67313754558563
2870,1.67545998096466
2873,2.08064699172974
2876,1.63008093833923
2879,1.63098585605621
2882,2.05983591079712
2884,1.72870326042175
2887,1.75551986694336
